ts,round,terror_ids,map_id
260518053639,Classic,77,59
260518053642,Classic,35,66
260518053651,Classic,88,40
260518053701,Classic,107,65
260518053720,Classic,81,46
260518053723,Classic,98,55
260518053732,Bloodbath,38;126;133,21
260518053742,fog,,69
260518053801,Bloodbath,27;102;119,13
260518053804,Classic,53,66
260518053813,Classic,46,26
260518053823,Classic,115,2
260518053842,Classic,74,26
260518053846,Classic,56,62
260518053854,Classic,15,23
260518053905,Classic,67,55
260518053924,Bloodbath,0;5;43,39
260518053928,Classic,68,3
260518053935,Cracked,88,38
260518053946,Randomizer,0,4
260518054005,Classic,59,38
260518054009,Classic,93,31
260518054016,Classic,82,59
260518054028,Classic,97,52
260518054047,Alternate,134,62
260518054050,Classic,77,13
260518054057,Classic,110,28
260518054109,Midnight,14;24;169,16
260518054127,Classic,48,9
260518054131,Classic,6,16
260518054137,Cracked,14,68
260518054150,Classic,87,7
260518054209,Classic,109,18
260518054212,Classic,55,30
260518054219,Classic,33,27
260518054231,Classic,82,46
260518054250,Bloodbath,10;36;37,64
260518054253,Classic,13,51
260518054259,Double Trouble,14;118,39
260518054312,Midnight,26;65;168,38
260518054331,Classic,40,15
260518054335,Classic,116,46
260518054340,Classic,121,51
260518054353,Classic,27,42
260518054412,Classic,71,27
260518054416,Classic,2,45
260518054422,Classic,35,16
260518054434,Classic,24,63
260518054453,fog,,42
260518054457,Classic,70,61
260518054503,Bloodbath,50;92;119,18
260518054515,Bloodbath,30;72;82,1
260518054537,Classic,104,30
260518054543,Classic,123,2
260518054618,Classic,78,72
260518054624,Bloodbath,49;58;108,32
260518054651,Run,,1
260518054659,Classic,32,15
260518054705,Classic,116,26
260518054713,Run,,1
260518054734,Classic.exe,104,4
260518054740,Classic,14,11
260518054746,Bloodbath,24;81;90,33
260518054754,Alternate,165,51
260518054815,Classic,121,57
260518054827,Classic,39,40
260518054831,Classic,67,52
260518054837,Classic,29,57
260518054859,Classic,45,20
260518054908,Unbound,251,48
260518054911,Classic,113,61
260518054917,Alternate,134,31
260518054939,Classic.exe,96,51
260518054949,Alternate,155,60
260518054953,Classic,31,30
260518054958,Classic,98,31
